iter	RMSE
196	4.80717926
197	4.80345569
198	4.798662086
199	4.794123038
200	4.791200451
201	4.786967737
202	4.782628281
203	4.776026225
204	4.771632327
205	4.767892598
206	4.765040147
207	4.763271469
208	4.75827872
209	4.754470566
210	4.751045892
211	4.748628846
212	4.743914915
213	4.741868028
214	4.739406317
215	4.737652548
216	4.733147481
217	4.728555949
218	4.726184019
219	4.72367665
220	4.721637531
221	4.718004084
222	4.7157863
223	4.708881497
224	4.706541235
225	4.704091211
226	4.702929164
227	4.702814255
228	4.701631589
229	4.699760181
230	4.696935474
231	4.693299377
232	4.688261438
233	4.68533594
234	4.681514992
235	4.677176184
236	4.673696851
237	4.671962997
238	4.667165762
239	4.663307427
240	4.658872881
241	4.65588672
242	4.653101346
243	4.649427278
244	4.646119168
245	4.643162926
246	4.639962325
247	4.636933429
248	4.634221189
249	4.632215512
250	4.628800066
251	4.627497845
252	4.623569275
253	4.62023867
254	4.61863808
255	4.613478227
256	4.612719663
257	4.610200326
258	4.606344454
259	4.605123784
260	4.603343067
261	4.600994711
262	4.597857569
263	4.595085256
264	4.590662615
265	4.586722079
266	4.583662207
267	4.583368753
268	4.580266303
269	4.57747747
270	4.574275474
271	4.570397209
272	4.562934303
273	4.560026895
274	4.557842018
275	4.555435851
276	4.548351514
277	4.545845815
278	4.5422291
279	4.539373679
280	4.538808369
281	4.533642239
282	4.527129927
283	4.526016373
284	4.522347982
285	4.518614651
286	4.514711884
287	4.510934102
288	4.509404195
289	4.50494701
290	4.504275821
291	4.501471697
292	4.499667472
293	4.496209003
294	4.490412063
295	4.483152421
296	4.481753466
297	4.47935225
298	4.477918957
299	4.474978335
300	4.468518128
301	4.465899291
302	4.46033397
303	4.455391535
304	4.451542862
305	4.446674068
306	4.442154982
307	4.441777718
308	4.439101297
309	4.434624289
310	4.431451162
311	4.429694084
312	4.42714144
313	4.423719825
314	4.41836173
315	4.417913046
316	4.416776887
317	4.412302814
318	4.406064174
319	4.402368643
320	4.397187834
321	4.392597967
322	4.39084618
323	4.386140136
324	4.380238253
325	4.377648528
326	4.372299643
327	4.365640276
328	4.364362193
329	4.361902248
330	4.35986744
331	4.355233721
332	4.351767344
333	4.347083484
334	4.345757592
335	4.344650779
336	4.341030125
337	4.33975793
338	4.334614248
339	4.332280853
340	4.328970861
341	4.321882103
342	4.320511826
343	4.314689884
344	4.311747709
345	4.3056654
346	4.302358609
347	4.297397669
348	4.294604672
349	4.291688712
350	4.286773179
351	4.281508132
352	4.279106767
353	4.276752646
354	4.2751108
355	4.269943079
356	4.266637219
357	4.262049388
358	4.260901783
359	4.25655263
360	4.25079541
361	4.249684134
362	4.246578453
363	4.246366955
364	4.243145864
365	4.240432975
366	4.23862254
367	4.23596596
368	4.233073279
369	4.232027133
370	4.226809251
371	4.224572304
372	4.219124211
373	4.214999391
374	4.210693334
375	4.207679581
376	4.206604952
377	4.201449267
378	4.200011283
379	4.196615882
380	4.195580397
381	4.194848651
382	4.189997828
383	4.187434709
384	4.18659113
385	4.182795652
386	4.178233644
387	4.17548205
388	4.171318315
389	4.168314891
390	4.166646207
391	4.165203002
392	4.162790155
393	4.159553223
394	4.1562246
395	4.153024071
396	4.15167845
397	4.147111277
398	4.14200418
399	4.135820028
400	4.132274357
401	4.127512761
402	4.125755442
403	4.123820325
404	4.120689654
405	4.11904665
406	4.114489593
407	4.111255615
408	4.107437227
409	4.103453904
410	4.101318519
411	4.098630844
412	4.096817705
413	4.095906916
414	4.094344224
415	4.093447192
416	4.089458313
417	4.084875122
418	4.081690842
419	4.079186402
420	4.077132607
421	4.073809381
422	4.071200336
423	4.06968486
424	4.0652089
425	4.063928783
426	4.059100903
427	4.05683134
428	4.054531465
429	4.053037372
430	4.052788036
431	4.050866747
432	4.046572064
433	4.043412635
434	4.042147827
435	4.039282298
436	4.036488151
437	4.032714588
438	4.029321653
439	4.023609231
440	4.02010605
441	4.017852018
442	4.013554271
443	4.012248035
444	4.009842266
445	4.007041598
446	4.006151556
447	4.003953821
448	4.000992977
449	3.998698184
450	3.995702027
451	3.990624617
452	3.986578398
453	3.982488808
454	3.979173258
455	3.978240501
456	3.975801291
457	3.973816204
458	3.971171742
459	3.96936677
460	3.965818336
461	3.964215537
462	3.961686464
463	3.958735039
464	3.955783739
465	3.951995031
466	3.95117761
467	3.948831568
468	3.943824239
469	3.942648802
470	3.942405492
471	3.938976901
472	3.937035358
473	3.935571584
474	3.931838239
475	3.927842691
476	3.923784176
477	3.921996101
478	3.921774918
479	3.920172185
480	3.918541447
481	3.914843802
482	3.911639102
483	3.910099172
484	3.907521678
485	3.904851306
486	3.899665092
487	3.896595102
488	3.894081874
489	3.890497397
490	3.888959808
491	3.88424614
492	3.879687028
493	3.875004929
494	3.872324429
495	3.868624788
496	3.865474829
497	3.864442686
498	3.862619043
499	3.858646557
500	3.858408083
501	3.85370549
502	3.852014709
503	3.84995109
504	3.845674561
505	3.844174835
506	3.842427674
507	3.841007265
508	3.838602541
509	3.834969887
510	3.83048482
511	3.825961919
512	3.821705122
513	3.819563854
514	3.817308694
515	3.81535588
516	3.812863978
517	3.810342338
518	3.807227325
519	3.806492323
520	3.804486652
521	3.802482963
522	3.800080846
523	3.796869353
524	3.794514102
525	3.792256997
526	3.791554592
527	3.787842859
528	3.785708742
529	3.785472816
530	3.782236207
531	3.78086331
532	3.777460757
533	3.772145164
534	3.769344087
535	3.766476928
536	3.764979018
537	3.762696759
538	3.761471958
539	3.760186568
540	3.757518876
541	3.753321729
542	3.749735067
543	3.747508691
544	3.746860967
545	3.745000872
546	3.743524439
547	3.740977194
548	3.73787431
549	3.736437093
550	3.732472588
551	3.729208423
552	3.727658173
553	3.726819016
554	3.723779099
555	3.720231419
556	3.719003131
557	3.716960909
558	3.716678262
559	3.712209137
560	3.708087141
561	3.707863653
562	3.704801475
563	3.703823825
564	3.701038554
565	3.698812141
566	3.696848803
567	3.695417012
568	3.693416175
569	3.691820148
570	3.689939968
571	3.686099965
572	3.683583678
573	3.679681485
574	3.677831722
575	3.674287974
576	3.671332
577	3.668017343
578	3.664366169
579	3.660509081
580	3.659415481
581	3.658738485
582	3.655308266
583	3.652872065
584	3.651402051
585	3.647781685
586	3.646324257
587	3.645137853
588	3.641718083
589	3.64090812
590	3.639693233
591	3.639526088
592	3.6364444
593	3.6335647
594	3.631304913
595	3.627923629
596	3.627181693
597	3.622437049
598	3.621264966
599	3.620329116
600	3.618618676
601	3.617000701
602	3.613761069
603	3.610738789
604	3.609663869
605	3.608678081
606	3.606764846
607	3.605795287
608	3.603765087
609	3.602853386
610	3.601596953
611	3.597731651
612	3.594557001
613	3.593319158
614	3.59106885
615	3.590068212
616	3.58898366
617	3.587859892
618	3.585034918
619	3.584839844
620	3.583897609
621	3.582652439
622	3.58193028
623	3.576591031
624	3.57491504
625	3.573268192
626	3.572531768
627	3.569265532
628	3.568512878
629	3.567254741
630	3.563885944
631	3.560980096
632	3.560333704
633	3.556558629
634	3.55459927
635	3.552752409
636	3.549420096
637	3.548205829
638	3.546336595
639	3.545409428
640	3.543718126
641	3.542659767
642	3.542516167
643	3.540394983
644	3.538452265
645	3.536638151
646	3.535017242
647	3.533970554
648	3.530820908
649	3.52910524
650	3.527187374
651	3.527014416
652	3.523956231
653	3.52052735
654	3.515506433
655	3.511281673
656	3.509651376
657	3.506797076
658	3.502968551
659	3.500763242
660	3.498934017
661	3.496716258
662	3.495489775
663	3.492308394
664	3.492174664
665	3.490050773
666	3.4885169
667	3.487247139
668	3.485869458
669	3.482835585
670	3.480091309
671	3.47819667
672	3.47722517
673	3.473908952
674	3.473757655
675	3.472084793
676	3.468992263
677	3.467644054
678	3.464760935
679	3.462166555
680	3.460082115
681	3.458054493
682	3.454489218
683	3.451714859
684	3.448287962
685	3.447053157
686	3.445238787
687	3.443169167
688	3.440220812
689	3.44006877
690	3.437375636
691	3.435207193
692	3.431498534
693	3.430565496
694	3.428121331
695	3.424682328
696	3.422253087
697	3.419628474
698	3.415606709
699	3.414720208
700	3.414234417
701	3.412066217
702	3.408508693
703	3.406710358
704	3.403935245
705	3.400154536
706	3.397669641
707	3.397146968
708	3.396060685
709	3.393277341
710	3.392160715
711	3.389041763
712	3.388148331
713	3.385692731
714	3.383786845
715	3.381773701
716	3.381649934
717	3.379791615
718	3.376927851
719	3.374879666
720	3.370431131
721	3.368348366
722	3.363802229
723	3.36314436
724	3.36211614
725	3.359409842
726	3.358777384
727	3.35558066
728	3.351617378
729	3.347387686
730	3.345043291
731	3.342916082
732	3.341298426
733	3.339065997
734	3.335540372
735	3.332528662
736	3.331724694
737	3.330807241
738	3.330666944
739	3.329819839
740	3.326864216
741	3.325598603
742	3.324683773
743	3.32195918
744	3.321039593
745	3.318388642
746	3.318328555
747	3.315362083
748	3.314174283
749	3.31407333
750	3.312000012
751	3.309127349
752	3.307964407
753	3.305791016
754	3.303985234
755	3.302670113
756	3.301772106
757	3.300823909
758	3.298582731
759	3.297453143
760	3.295959414
761	3.294557034
762	3.29267393
763	3.290237602
764	3.28927068
765	3.287534172
766	3.287091273
767	3.284511703
768	3.284293829
769	3.283191298
770	3.282795787
771	3.282001928
772	3.281200104
773	3.27968387
774	3.279297167
775	3.279190948
776	3.279076894
777	3.278486122
778	3.276472253
779	3.274944732
780	3.273016974
781	3.271343368
782	3.268574985
783	3.266832218
784	3.265114949
785	3.262981538
786	3.261397894
787	3.259405673
788	3.25781478
789	3.25601695
790	3.253701913
791	3.251279811
792	3.251181161
793	3.249177
794	3.249091052
795	3.248252448
796	3.245483692
797	3.24537366
798	3.244884308
799	3.243860893
800	3.242896469
801	3.24189042
802	3.241105616
803	3.238566068
804	3.236959997
805	3.236211159
806	3.233265737
807	3.230414572
808	3.227220357
809	3.22612542
810	3.223275988
811	3.221017103
812	3.220416282
813	3.220141352
814	3.217531127
815	3.216660785
816	3.216199834
817	3.215295998
818	3.213921365
819	3.213236528
820	3.211879885
821	3.211790704
822	3.208919038
823	3.207310404
824	3.205824457
825	3.20343201
826	3.202202538
827	3.201413509
828	3.20108793
829	3.199017868
830	3.198538025
831	3.196020168
832	3.193153169
833	3.19177323
834	3.189416924
835	3.187092528
836	3.184546231
837	3.18398112
838	3.179977855
839	3.177214887
840	3.175662115
841	3.174289593
842	3.171616613
843	3.168605949
844	3.168521218
845	3.167565888
846	3.164544804
847	3.163677977
848	3.162611691
849	3.161468172
850	3.159212375
851	3.157366263
852	3.154606928
853	3.153622234
854	3.153206237
855	3.151250837
856	3.149718281
857	3.148138309
858	3.147746274
859	3.146812256
860	3.145620611
861	3.145548309
862	3.145227693
863	3.144346519
864	3.142683651
865	3.140515118
866	3.140215
867	3.138715818
868	3.138542904
869	3.13801715
870	3.135581745
871	3.133846453
872	3.131447849
873	3.130298835
874	3.12932835
875	3.129007866
876	3.127558801
877	3.126625232
878	3.124392961
879	3.121653456
880	3.120090614
881	3.118479744
882	3.115116707
883	3.113984867
884	3.111654161
885	3.109968956
886	3.109227712
887	3.109144555
888	3.106267825
889	3.103788806
890	3.102521545
891	3.101819513
892	3.098094405
893	3.097295944
894	3.094704101
895	3.093239549
896	3.091865946
897	3.091834128
898	3.089312412
899	3.087427933
900	3.086795076
901	3.085654846
902	3.085236248
903	3.084317451
904	3.082342438
905	3.080341183
906	3.077460908
907	3.076620184
908	3.075253334
909	3.07431542
910	3.073792273
911	3.07227074
912	3.071732774
913	3.071634868
914	3.070169981
915	3.068499337
916	3.066947702
917	3.066153756
918	3.065577992
919	3.06368999
920	3.062314442
921	3.060465713
922	3.060041343
923	3.059294738
924	3.059220097
925	3.058821687
926	3.056946763
927	3.054904315
928	3.053162824
929	3.051844078
930	3.050344041
931	3.049152485
932	3.049054225
933	3.048040866
934	3.04757508
935	3.046762258
936	3.045865211
937	3.045829033
938	3.045358085
939	3.044305259
940	3.043381426
941	3.040786037
942	3.03824708
943	3.037346943
944	3.035746591
945	3.033201082
946	3.030519444
947	3.028749158
948	3.026178883
949	3.024651829
950	3.022280775
951	3.021078812
952	3.020750803
953	3.019958673
954	3.01929757
955	3.017776433
956	3.015934849
957	3.015600852
958	3.014520677
959	3.013893508
960	3.013806375
961	3.013397786
962	3.011869008
963	3.008112419
964	3.007199033
965	3.006076248
966	3.004910503
967	3.004440736
968	3.001933817
969	3.00059341
970	2.999637455
971	2.99935076
972	2.998699732
973	2.996369665
974	2.995331879
975	2.994925107
976	2.993450916
977	2.991907151
978	2.991196982
979	2.990335369
980	2.989710329
981	2.988169103
982	2.987045555
983	2.986984784
984	2.986445808
985	2.984431542
986	2.983760699
987	2.982678485
988	2.981126017
989	2.979909749
990	2.979518525
991	2.97723971
992	2.976009481
993	2.975931088
994	2.974324586
995	2.972148297
996	2.970602959
997	2.969395444
998	2.9693313
999	2.969277945
